v3,Target,OBC,Local Var,,,,,,,,,,,,,,,,,
,PacketID,0x25,const CommandDispatcher* cdis = command_dispatcher_manager->cdises[command_dispatcher_manager->idx_for_tlm];,,,,,,,,,,,,,,,,,
,Enable/Disable,ENABLE,,,,,,,,,,,,,,,,,,
,IsRestricted,FALSE,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Comment,TLM Field,Onboard Software Info.,,Extraction Info.,,,,Conversion Info.,,,,,,,,Display Info.,,,Description,Note
,Name,Var.##Type,Variable or Function Name,Field##Type,Pos. Designator,,,Conv.##Type,Poly (Σa_i * x^i),,,,,,Status,Label,Unit,Format,,
,,,,,Octet##Pos.,bit##Pos.,bit##Len.,,a0,a1,a2,a3,a4,a5,,,,,,
,PH.VER,uint16_t,,uint8_t,0,0,3,NONE,,,,,,,,,,,,
,PH.TYPE,,,uint8_t,0,3,1,NONE,,,,,,,,,,,,
,PH.SH_FLAG,,,uint8_t,0,4,1,NONE,,,,,,,,,,,,
,PH.APID,,,uint16_t,0,5,11,NONE,,,,,,,,,,,,
,PH.SEQ_FLAG,uint16_t,,uint8_t,2,0,2,NONE,,,,,,,,,,,,
,PH.SEQ_COUNT,,,uint16_t,2,2,14,NONE,,,,,,,,,,,,
,PH.PACKET_LEN,uint16_t,,uint16_t,4,0,16,NONE,,,,,,,,,,,,
,SH.VER,uint8_t,,uint8_t,6,0,8,NONE,,,,,,,,,,,,
,SH.TI,uint32_t,,uint32_t,7,0,32,NONE,,,,,,,,,,,,
,SH.TLM_ID,uint8_t,,uint8_t,11,0,8,HEX,,,,,,,,,,,,
,SH.GLOBAL_TIME,double,,double,12,0,64,NONE,,,,,,,,,,,,
,SH.ON_BOARD_SUBNET_TIME,uint32_t,,uint32_t,20,0,32,NONE,,,,,,,,,,,,
,SH.DEST_FLAGS,uint8_t,,uint8_t,24,0,8,HEX,,,,,,,,,,,,
,SH.DEST_INFO,uint8_t,,uint8_t,25,0,8,NONE,,,,,,,,,,,,
,CDIS_MGR.NUM_OF_CDIS,uint8_t,command_dispatcher_manager->num_of_cdis,uint8_t,26,0,8,NONE,,,,,,,,,,,,
,CDIS_MGR.IDX_FOR_TLM,uint8_t,command_dispatcher_manager->idx_for_tlm,uint8_t,27,0,8,NONE,,,,,,,,,,,,
,CDIS.IDX,uint8_t,cdis->idx,uint8_t,28,0,8,NONE,,,,,,,,,,,,
,CDIS.ADR,uint32_t,(uint32_t)cdis,uint32_t,29,0,32,HEX,,,,,,,,,,,,
,CDIS.PREV.TIME.TOTAL_CYCLE,uint32_t,cdis->prev.time.total_cycle,uint32_t,33,0,32,NONE,,,,,,,,,,,,
,CDIS.PREV.TIME.MODE_CYCLE,uint32_t,cdis->prev.time.mode_cycle,uint32_t,37,0,32,NONE,,,,,,,,,,,,
,CDIS.PREV.TIME.STEP,uint32_t,cdis->prev.time.step,uint32_t,41,0,32,NONE,,,,,,,,,,,,
,CDIS.PREV.CODE,uint16_t,(uint16_t)cdis->prev.code,uint16_t,45,0,16,NONE,,,,,,,,,,,,
,CDIS.PREV.CMD_RET.EXEC_STS,uint8_t,(uint8_t)cdis->prev.cmd_ret.exec_sts,uint8_t,47,0,8,STATUS,,,,,,,0=SUC@@ 1=LEN@@ 2=PRM@@ 3=CNT@@ 4=NDF@@ 5=RUT@@ 6=FMT@@ *=ERR,,,,,
,CDIS.PREV.CMD_RET.ERR_CODE,uint32_t,cdis->prev.cmd_ret.err_code,uint32_t,48,0,32,NONE,,,,,,,,,,,,
