,Target,OBC,Local Var,,,,,,,,,,,,,,
,PacketID,0xef,,,,,,,,,,,,,,,
,Enable/Disable,ENABLE,,,,,,,,,,,,,,,
,IsRestricted,FALSE,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Comment,TLM Entry,Onboard Software Info.,,Extraction Info.,,,,Conversion Info.,,,,,,,,Description,Note
,Name,Var.%%##Type,Variable or Function Name,Ext.%%##Type,Pos. Desiginator,,,Conv.%%##Type,Poly (Σa_i * x^i),,,,,,Status,,
,,,,,Octet%%##Pos.,bit%%##Pos.,bit%%##Len.,,a0,a1,a2,a3,a4,a5,,,
,PH.VER,uint16_t,,PACKET,0,0,3,NONE,,,,,,,,,
,PH.TYPE,,,PACKET,0,3,1,NONE,,,,,,,,,
,PH.SH_FLAG,,,PACKET,0,4,1,NONE,,,,,,,,,
,PH.APID,,,PACKET,0,5,11,NONE,,,,,,,,,
,PH.SEQ_FLAG,uint16_t,,PACKET,2,0,2,NONE,,,,,,,,,
,PH.SEQ_COUNT,,,PACKET,2,2,14,NONE,,,,,,,,,
,PH.PACKET_LEN,uint16_t,,PACKET,4,0,16,NONE,,,,,,,,,
,SH.VER,uint8_t,,PACKET,6,0,8,NONE,,,,,,,,,
,SH.TI,uint32_t,,PACKET,7,0,32,NONE,,,,,,,,,
,SH.TLM_ID,uint8_t,,PACKET,11,0,8,HEX,,,,,,,,,
,SH.GLOBAL_TIME,double,,PACKET,12,0,64,NONE,,,,,,,,,
,SH.ON_BOARD_SUBNET_TIME,uint32_t,,PACKET,20,0,32,NONE,,,,,,,,,
,SH.DEST_FLAGS,uint8_t,,PACKET,24,0,8,HEX,,,,,,,,,
,SH.DEST_INFO,uint8_t,,PACKET,25,0,8,NONE,,,,,,,,,
,INFO.EXEC_COUNT,uint32_t,demo_calculator->info.exec_count,PACKET,26,0,32,NONE,,,,,,,,,
,INFO.ERR_COUNT,uint32_t,demo_calculator->info.err_count,PACKET,30,0,32,NONE,,,,,,,,,
,INFO.LAST_EXEC_TIME.TOTAL_CYCLE,uint32_t,demo_calculator->info.last_exec_time.total_cycle,PACKET,34,0,32,NONE,,,,,,,,,
,INFO.LAST_EXEC_TIME.STEP,uint32_t,demo_calculator->info.last_exec_time.step,PACKET,38,0,32,NONE,,,,,,,,,
,INFO.STATUS,uint8_t,demo_calculator->info.status,PACKET,42,0,8,STATUS,,,,,,,0=OK@@1=ZERO_DIV@@2=UNKNOWN@@*=N/A,,
,CALC.A,int32_t,demo_calculator->calc.a,PACKET,43,0,32,NONE,,,,,,,,,
,CALC.B,int32_t,demo_calculator->calc.b,PACKET,47,0,32,NONE,,,,,,,,,
,CALC.RESULT,uint8_t,demo_calculator->calc.result,PACKET,51,0,8,NONE,,,,,,,,,
,CALC.OPERATOR,uint8_t,demo_calculator->calc.operator,PACKET,52,0,8,STATUS,,,,,,,0=ADD@@1=SUB@@2=MUL@@3=DIV@@4=MOD@@*=N/A,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
