v3,Target,OBC,Local Var,,,,,,,,,,,,,,,,,
,PacketID,0x5b,uint16_t offset = event_handler->tlm_info.rule.page_no * EH_RULE_TLM_PAGE_SIZE;##const EH_Rule* rules = event_handler->rule_table.rules;##,,,,,,,,,,,,,,,,,
,Enable/Disable,ENABLE,,,,,,,,,,,,,,,,,,
,IsRestricted,FALSE,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Comment,TLM Field,Onboard Software Info.,,Extraction Info.,,,,Conversion Info.,,,,,,,,Display Info.,,,Description,Note
,Name,Var.##Type,Variable or Function Name,Field##Type,Pos. Designator,,,Conv.##Type,Poly (Σa_i * x^i),,,,,,Status,Label,Unit,Format,,
,,,,,Octet##Pos.,bit##Pos.,bit##Len.,,a0,a1,a2,a3,a4,a5,,,,,,
,PH.VER,uint16_t,,uint8_t,0,0,3,NONE,,,,,,,,,,,,
,PH.TYPE,,,uint8_t,0,3,1,NONE,,,,,,,,,,,,
,PH.SH_FLAG,,,uint8_t,0,4,1,NONE,,,,,,,,,,,,
,PH.APID,,,uint16_t,0,5,11,NONE,,,,,,,,,,,,
,PH.SEQ_FLAG,uint16_t,,uint8_t,2,0,2,NONE,,,,,,,,,,,,
,PH.SEQ_COUNT,,,uint16_t,2,2,14,NONE,,,,,,,,,,,,
,PH.PACKET_LEN,uint16_t,,uint16_t,4,0,16,NONE,,,,,,,,,,,,
,SH.VER,uint8_t,,uint8_t,6,0,8,NONE,,,,,,,,,,,,
,SH.TI,uint32_t,,uint32_t,7,0,32,NONE,,,,,,,,,,,,
,SH.TLM_ID,uint8_t,,uint8_t,11,0,8,HEX,,,,,,,,,,,,
,SH.GLOBAL_TIME,double,,double,12,0,64,NONE,,,,,,,,,,,,
,SH.ON_BOARD_SUBNET_TIME,uint32_t,,uint32_t,20,0,32,NONE,,,,,,,,,,,,
,SH.DEST_FLAGS,uint8_t,,uint8_t,24,0,8,HEX,,,,,,,,,,,,
,SH.DEST_INFO,uint8_t,,uint8_t,25,0,8,NONE,,,,,,,,,,,,
,TLM_INFO.RULE.PAGE_NO,uint8_t,event_handler->tlm_info.rule.page_no,uint8_t,26,0,8,NONE,,,,,,,,,,,,
,RULE_TABLE.REGISTERED_RULE_NUM,uint16_t,event_handler->rule_table.registered_rule_num,uint16_t,27,0,16,NONE,,,,,,,,,,,,
,RULE0.SETTINGS.EVENT.GROUP,uint8_t,(uint8_t)rules[0 + offset].settings.event.group,uint8_t,29,0,8,NONE,,,,,,,,,,,,
,RULE0.SETTINGS.EVENT.LOCAL,uint32_t,rules[0 + offset].settings.event.local,uint32_t,30,0,32,NONE,,,,,,,,,,,,
,RULE0.SETTINGS.EVENT.ERR_LEVEL,uint8_t,(uint8_t)((((uint8_t)rules[0 + offset].settings.event.err_level) << 5 & 0xe0) | (rules[0 + offset].settings.should_match_err_level << 4 & 0x10) | (rules[0 + offset].settings.is_active << 3 & 0x08) | (((uint8_t)rules[0 + offset].settings.condition.type) & 0x07)),uint8_t,34,0,3,STATUS,,,,,,,0=HIGH@@ 1=MIDDLE@@ 2=LOW@@ 3=EL@@ 4=EH@@ *=N/A,,,,,
,RULE0.SETTINGS.SHOULD_MATCH_ERR_LEVEL,,,uint8_t,34,3,1,STATUS,,,,,,,0=NO@@ 1=YES@@ *=N/A,,,,,
,RULE0.SETTINGS.IS_ACTIVE,,,uint8_t,34,4,1,STATUS,,,,,,,0=INACTIVE@@ 1=ACTIVE@@ *=N/A,,,,,
,RULE0.SETTINGS.CONDITION.TYPE,,,uint8_t,34,5,3,STATUS,,,,,,,0=SINGLE@@ 1=CONTINUOUS@@ 2=CUMULATIVE@@ *=N/A,,,,,
,RULE0.SETTINGS.CONDITION.COUNT_THRESHOLD,uint16_t,rules[0 + offset].settings.condition.count_threshold,uint16_t,35,0,16,NONE,,,,,,,,,,,,
